[ 2025-06-25 15:39:42,584 ] 346 undetected_chromedriver.patcher - INFO - patching driver executable C:\Users\Utkarsh\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
[ 2025-06-25 15:39:43,793 ] 61 RERAScrapper - INFO - Browser initialized successfully.
[ 2025-06-25 15:39:58,504 ] 69 RERAScrapper - INFO - Navigated to URL: https://rera.karnataka.gov.in/viewAllProjects
[ 2025-06-25 15:40:02,321 ] 82 RERAScrapper - INFO - City 'Vijayapura' selected from dropdown.
[ 2025-06-25 15:40:06,703 ] 89 RERAScrapper - INFO - Select Button Clicked.
[ 2025-06-25 15:40:09,408 ] 101 RERAScrapper - INFO - Home table JSON extracted: home_table_json
[ 2025-06-25 15:40:09,441 ] 130 RERAScrapper - INFO - Home Table JSON 'home_table_json' scrapped.
[ 2025-06-25 15:40:10,686 ] 168 RERAScrapper - INFO - Promoter Details 'promoter_details' scrapped.
[ 2025-06-25 15:40:10,761 ] 174 RERAScrapper - INFO - Authorized Signatory Detail 'authorized_signatory_details' scrapped.
[ 2025-06-25 15:40:12,522 ] 180 RERAScrapper - INFO - Project Member Details 'project_member_details' scrapped.
[ 2025-06-25 15:40:12,543 ] 186 RERAScrapper - INFO - Project Land Owner Details 'project_land_owner_details' scrapped.
[ 2025-06-25 15:40:12,567 ] 192 RERAScrapper - INFO - RERA Registration Details with any other State/UTs 'rera_registration_details_with_any_details' scrapped.
[ 2025-06-25 15:40:12,596 ] 198 RERAScrapper - INFO - Previous Project Details (Last 5 years only) 'previous_project_details' scrapped.
[ 2025-06-25 15:40:12,641 ] 207 RERAScrapper - INFO - Project Details page clicked.
[ 2025-06-25 15:40:13,485 ] 214 RERAScrapper - INFO - Project Details 'project_details' scrapped.
[ 2025-06-25 15:40:13,656 ] 220 RERAScrapper - INFO - Development Details 'development_details' scrapped.
[ 2025-06-25 15:40:13,963 ] 226 RERAScrapper - INFO - External Development Work 'external_development_work' scrapped.
[ 2025-06-25 15:40:13,984 ] 232 RERAScrapper - INFO - Other External Development Work 'other_external_development_work' scrapped.
[ 2025-06-25 15:40:14,212 ] 238 RERAScrapper - INFO - Project Bank ( Escrow Account ) Details 'project_bank_details' scrapped.
[ 2025-06-25 15:40:14,240 ] 244 RERAScrapper - INFO - Project Agents 'project_agents' scrapped.
[ 2025-06-25 15:40:14,250 ] 251 RERAScrapper - INFO - Project Detail Table 'project_detail_table' scrapped.
[ 2025-06-25 15:40:14,288 ] 260 RERAScrapper - INFO - Uploaded Documents page clicked.
[ 2025-06-25 15:40:14,365 ] 267 RERAScrapper - INFO - Project Documents 'project_documents' scrapped.
[ 2025-06-25 15:40:16,084 ] 273 RERAScrapper - INFO - Project Approval 'project_approval' scrapped.
[ 2025-06-25 15:40:16,156 ] 279 RERAScrapper - INFO - Declaration 'declaration' scrapped.
[ 2025-06-25 15:40:16,181 ] 285 RERAScrapper - INFO - Other Documents 'other_documents' scrapped.
[ 2025-06-25 15:40:16,363 ] 291 RERAScrapper - INFO - Project Photo 'project_photo' scrapped.
[ 2025-06-25 15:40:16,372 ] 297 RERAScrapper - INFO - Financial Document 'financial_document' scrapped.
[ 2025-06-25 15:40:16,411 ] 306 RERAScrapper - INFO - Complaint page clicked.
[ 2025-06-25 15:40:16,420 ] 315 RERAScrapper - WARNING - Promoter Table 'project_table' **not** scrapped.
[ 2025-06-25 15:40:18,463 ] 321 RERAScrapper - INFO - Project Complaint sub-page clicked.
[ 2025-06-25 15:40:18,470 ] 330 RERAScrapper - WARNING - Other Documents 'project_table' **not** scrapped.
[ 2025-06-25 15:40:18,504 ] 339 RERAScrapper - INFO - Completion Details page clicked.
[ 2025-06-25 15:40:21,131 ] 348 RERAScrapper - INFO - Completion Details 'completion_details' scrapped.
[ 2025-06-25 15:40:21,139 ] 356 RERAScrapper - WARNING - Development Details 'development_details_completion' **not** scrapped.
[ 2025-06-25 15:40:21,150 ] 362 RERAScrapper - WARNING - Uploaded Documents 'uploaded_documents' **not** scrapped.
[ 2025-06-25 15:40:21,160 ] 368 RERAScrapper - WARNING - Photos Uploaded 'photos_uploaded' **not** scrapped.
[ 2025-06-25 15:40:25,948 ] 439 RERAScrapper - INFO - Project Details Page Detected.
[ 2025-06-25 15:40:41,158 ] 101 RERAScrapper - INFO - Home table JSON extracted: home_table_json
[ 2025-06-25 15:40:41,195 ] 130 RERAScrapper - INFO - Home Table JSON 'home_table_json' scrapped.
[ 2025-06-25 15:40:42,600 ] 168 RERAScrapper - INFO - Promoter Details 'promoter_details' scrapped.
[ 2025-06-25 15:40:42,609 ] 176 RERAScrapper - WARNING - Authorized Signatory Detail 'authorized_signatory_details' **************not************** scrapped.
[ 2025-06-25 15:40:42,619 ] 182 RERAScrapper - WARNING - Project Member Details 'project_member_details' **************not************** scrapped.
[ 2025-06-25 15:40:42,654 ] 186 RERAScrapper - INFO - Project Land Owner Details 'project_land_owner_details' scrapped.
[ 2025-06-25 15:40:42,665 ] 194 RERAScrapper - WARNING - RERA Registration Details with any other State/UTs 'rera_registration_details_with_any_details' **************not************** scrapped.
[ 2025-06-25 15:40:42,697 ] 198 RERAScrapper - INFO - Previous Project Details (Last 5 years only) 'previous_project_details' scrapped.
[ 2025-06-25 15:40:42,739 ] 207 RERAScrapper - INFO - Project Details page clicked.
[ 2025-06-25 15:40:44,031 ] 214 RERAScrapper - INFO - Project Details 'project_details' scrapped.
[ 2025-06-25 15:40:44,286 ] 220 RERAScrapper - INFO - Development Details 'development_details' scrapped.
