[ 2025-06-20 12:57:02,630 ] 346 undetected_chromedriver.patcher - INFO - patching driver executable C:\Users\Utkarsh\appdata\roaming\undetected_chromedriver\undetected_chromedriver.exe
[ 2025-06-20 12:57:03,230 ] 62 RERAScrapper - INFO - Browser initialized successfully.
[ 2025-06-20 12:57:15,490 ] 70 RERAScrapper - INFO - Navigated to URL: https://rera.karnataka.gov.in/viewAllProjects
[ 2025-06-20 12:57:19,548 ] 83 RERAScrapper - INFO - City 'Kolar' selected from dropdown.
[ 2025-06-20 12:57:24,770 ] 90 RERAScrapper - INFO - Select Button Clicked.
[ 2025-06-20 12:57:25,831 ] 102 RERAScrapper - INFO - Home table JSON extracted: home_table_json
[ 2025-06-20 12:57:25,864 ] 264 RERAScrapper - ERROR - An error occurred in scrape_project_details: RERAScrapper.view_project_details_table_process() missing 1 required positional argument: 'i'
[ 2025-06-20 12:57:32,579 ] 102 RERAScrapper - INFO - Home table JSON extracted: home_table_json
[ 2025-06-20 12:57:32,609 ] 264 RERAScrapper - ERROR - An error occurred in scrape_project_details: RERAScrapper.view_project_details_table_process() missing 1 required positional argument: 'i'
[ 2025-06-20 12:57:36,723 ] 83 RERAScrapper - INFO - City 'Kolar' selected from dropdown.
[ 2025-06-20 12:57:41,412 ] 90 RERAScrapper - INFO - Select Button Clicked.
[ 2025-06-20 12:57:48,478 ] 102 RERAScrapper - INFO - Home table JSON extracted: home_table_json
[ 2025-06-20 12:57:48,520 ] 264 RERAScrapper - ERROR - An error occurred in scrape_project_details: RERAScrapper.view_project_details_table_process() missing 1 required positional argument: 'i'
[ 2025-06-20 12:57:52,642 ] 83 RERAScrapper - INFO - City 'Kolar' selected from dropdown.
[ 2025-06-20 12:57:53,701 ] 90 RERAScrapper - INFO - Select Button Clicked.
[ 2025-06-20 12:58:01,492 ] 102 RERAScrapper - INFO - Home table JSON extracted: home_table_json
[ 2025-06-20 12:58:01,529 ] 264 RERAScrapper - ERROR - An error occurred in scrape_project_details: RERAScrapper.view_project_details_table_process() missing 1 required positional argument: 'i'
[ 2025-06-20 12:58:05,633 ] 83 RERAScrapper - INFO - City 'Kolar' selected from dropdown.
[ 2025-06-20 12:58:06,674 ] 90 RERAScrapper - INFO - Select Button Clicked.
[ 2025-06-20 12:58:15,358 ] 102 RERAScrapper - INFO - Home table JSON extracted: home_table_json
[ 2025-06-20 12:58:15,390 ] 264 RERAScrapper - ERROR - An error occurred in scrape_project_details: RERAScrapper.view_project_details_table_process() missing 1 required positional argument: 'i'
[ 2025-06-20 12:58:19,472 ] 102 RERAScrapper - INFO - Home table JSON extracted: home_table_json
[ 2025-06-20 12:58:19,503 ] 264 RERAScrapper - ERROR - An error occurred in scrape_project_details: RERAScrapper.view_project_details_table_process() missing 1 required positional argument: 'i'
[ 2025-06-20 12:58:23,578 ] 102 RERAScrapper - INFO - Home table JSON extracted: home_table_json
[ 2025-06-20 12:58:23,610 ] 264 RERAScrapper - ERROR - An error occurred in scrape_project_details: RERAScrapper.view_project_details_table_process() missing 1 required positional argument: 'i'
